"feature","coefficient","odds_ratio"
"(Intercept)",-1.52480008350625,0.217664567252965
"account_status",0.471311694871941,1.60209427442751
"credit_history",0.412278675636842,1.51025524903422
"savings",-0.164574708747446,0.848254382554622
"employment_duration",-0.147472699373851,0.862885995327781
"property",-0.170099258062433,0.84358108021717
"occupation",0.0574308166772631,1.05911199523306
"installment_rate",-0.242934006734342,0.784323272117745
"residence_since",0.0200255529719482,1.02022740953605
"existing_credits",0.172987184611624,1.18885086940079
"people_liable",0.466435615575019,1.59430135060199
"loan_duration_mths",2.4952521956141,12.1247909521376
"credit_amount",0.0471205761202782,1.04824839518451
"age_yrs",-1.40304229672472,0.245847882847125
"`loan_purpose_Car (used)`",-1.24452096167839,0.288078875903412
"`loan_purpose_Furniture / equipment`",-0.180172928814344,0.835125781612353
"`loan_purpose_Radio / television`",-0.682375082253453,0.505415163124337
"loan_purpose_Education",0.422469216583961,1.52572425187615
"loan_purpose_Business",-0.337969545112145,0.713217008511542
"`marital_status_Female divorced/separated/married`",-0.575688169019219,0.562317765960649
"`marital_status_Male single`",-0.815721025675808,0.442320288072782
"`marital_status_Male married/widowed`",-0.487962092841171,0.613876142902217
"other_debtors_Guarantor",-0.491235819835755,0.611869765958957
"other_installment_plans_Bank",0.361363008158193,1.43528438626429
"other_installment_plans_Stores",0.413086993456086,1.51147650878013
"housing_Own",-0.505902803998872,0.602960974051343
"`housing_For free`",0.176281902685361,1.19277425752699
"telephone_Yes",-0.184836364154861,0.831240293431731
