"age_group","n","n_good","n_bad","accuracy","fpr","fnr","selection_rate","mean_prob_bad"
"Under 25",64,39,25,0.781,0.128,0.36,0.328,0.401
"25-35",103,75,28,0.777,0.053,0.679,0.126,0.288
"36-50",100,79,21,0.8,0.063,0.714,0.11,0.241
"Over 50",33,18,15,0.697,0.056,0.6,0.212,0.326
