"gender","age_group","n","actual_bad_rate","predicted_bad_rate","mean_prob_bad"
"Female","Under 25",32,0.531,0.312,0.376
"Female","25-35",34,0.382,0.235,0.313
"Female","36-50",15,0.133,0,0.173
"Female","Over 50",11,0.273,0.091,0.284
"Male","Under 25",32,0.25,0.344,0.404
"Male","25-35",69,0.217,0.116,0.279
"Male","36-50",85,0.224,0.141,0.25
"Male","Over 50",22,0.545,0.364,0.351
