"threshold","precision","recall","f1"
0.2,0.40625,0.876404494382023,0.555160142348755
0.21,0.416666666666667,0.842696629213483,0.557620817843866
0.22,0.421348314606742,0.842696629213483,0.561797752808989
0.23,0.427745664739884,0.831460674157303,0.564885496183206
0.24,0.431952662721893,0.820224719101124,0.565891472868217
0.25,0.427710843373494,0.797752808988764,0.556862745098039
0.26,0.438709677419355,0.764044943820225,0.557377049180328
0.27,0.45578231292517,0.752808988764045,0.567796610169492
0.28,0.475177304964539,0.752808988764045,0.582608695652174
0.29,0.492647058823529,0.752808988764045,0.595555555555556
0.3,0.503875968992248,0.730337078651685,0.596330275229358
0.31,0.512,0.719101123595506,0.598130841121495
0.32,0.529411764705882,0.707865168539326,0.605769230769231
0.33,0.538461538461538,0.707865168539326,0.611650485436893
0.34,0.54954954954955,0.685393258426966,0.61
0.35,0.555555555555556,0.674157303370786,0.609137055837563
0.36,0.584158415841584,0.662921348314607,0.621052631578947
0.37,0.58,0.651685393258427,0.613756613756614
0.38,0.589473684210526,0.629213483146067,0.608695652173913
0.39,0.591397849462366,0.617977528089888,0.604395604395604
0.4,0.613636363636364,0.606741573033708,0.610169491525424
0.41,0.597560975609756,0.550561797752809,0.573099415204678
0.42,0.604938271604938,0.550561797752809,0.576470588235294
0.43,0.602564102564103,0.528089887640449,0.562874251497006
0.44,0.602564102564103,0.528089887640449,0.562874251497006
0.45,0.6,0.50561797752809,0.548780487804878
0.46,0.63768115942029,0.49438202247191,0.556962025316456
0.47,0.671875,0.48314606741573,0.562091503267974
0.48,0.672131147540984,0.460674157303371,0.546666666666667
0.49,0.672413793103448,0.438202247191011,0.530612244897959
0.5,0.672413793103448,0.438202247191011,0.530612244897959
0.51,0.648148148148148,0.393258426966292,0.48951048951049
0.52,0.653846153846154,0.382022471910112,0.482269503546099
0.53,0.673913043478261,0.348314606741573,0.459259259259259
0.54,0.710526315789474,0.303370786516854,0.425196850393701
0.55,0.702702702702703,0.292134831460674,0.412698412698413
0.56,0.685714285714286,0.269662921348315,0.387096774193548
0.57,0.7,0.235955056179775,0.352941176470588
0.58,0.740740740740741,0.224719101123595,0.344827586206897
0.59,0.782608695652174,0.202247191011236,0.321428571428571
0.6,0.782608695652174,0.202247191011236,0.321428571428571
0.61,0.75,0.168539325842697,0.275229357798165
0.62,0.736842105263158,0.157303370786517,0.259259259259259
0.63,0.705882352941177,0.134831460674157,0.226415094339623
0.64,0.785714285714286,0.123595505617978,0.213592233009709
0.65,0.7,0.0786516853932584,0.141414141414141
0.66,0.7,0.0786516853932584,0.141414141414141
0.67,0.7,0.0786516853932584,0.141414141414141
0.68,0.666666666666667,0.0674157303370786,0.122448979591837
0.69,0.75,0.0674157303370786,0.123711340206186
0.7,0.833333333333333,0.0561797752808989,0.105263157894737
