"gender","n","n_good","n_bad","accuracy","fpr","fnr","selection_rate","mean_prob_bad"
"Female",92,57,35,0.761,0.053,0.543,0.207,0.309
"Male",208,154,54,0.774,0.104,0.574,0.188,0.294
