"Model","Accuracy","Sensitivity","Specificity","Precision","F1","AUC","Kappa"
"Random Forest",0.77,0.404,0.924,0.692,0.511,0.787,0.374
"SVM (Radial)",0.76,0.596,0.829,0.596,0.596,0.787,0.425
"Logistic Regression",0.717,0.36,0.867,0.533,0.43,0.748,0.25
"SVM (Linear)",0.72,0.652,0.749,0.523,0.58,0.745,0.374
"KNN",0.647,0.685,0.63,0.439,0.535,0.69,0.272
"Decision Tree",0.717,0.539,0.791,0.522,0.53,0.67,0.328
