"threshold","precision","recall","f1"
0.2,0.417582417582418,0.853932584269663,0.560885608856089
0.21,0.428571428571429,0.842696629213483,0.568181818181818
0.22,0.437869822485207,0.831460674157303,0.573643410852713
0.23,0.444444444444444,0.808988764044944,0.573705179282869
0.24,0.439490445859873,0.775280898876405,0.560975609756098
0.25,0.442953020134228,0.741573033707865,0.554621848739496
0.26,0.451388888888889,0.730337078651685,0.55793991416309
0.27,0.467625899280576,0.730337078651685,0.570175438596491
0.28,0.477941176470588,0.730337078651685,0.577777777777778
0.29,0.477611940298507,0.719101123595506,0.573991031390135
0.3,0.488372093023256,0.707865168539326,0.577981651376147
0.31,0.5,0.696629213483146,0.582159624413146
0.32,0.504132231404959,0.685393258426966,0.580952380952381
0.33,0.508474576271186,0.674157303370786,0.579710144927536
0.34,0.508771929824561,0.651685393258427,0.571428571428572
0.35,0.508928571428571,0.640449438202247,0.567164179104478
0.36,0.523364485981308,0.629213483146067,0.571428571428571
0.37,0.528846153846154,0.617977528089888,0.569948186528497
0.38,0.525252525252525,0.584269662921348,0.553191489361702
0.39,0.53125,0.573033707865168,0.551351351351351
0.4,0.542553191489362,0.573033707865168,0.557377049180328
0.41,0.543478260869565,0.561797752808989,0.552486187845304
0.42,0.544444444444444,0.550561797752809,0.547486033519553
0.43,0.55952380952381,0.528089887640449,0.543352601156069
0.44,0.569620253164557,0.50561797752809,0.535714285714286
0.45,0.564102564102564,0.49438202247191,0.526946107784431
0.46,0.555555555555556,0.449438202247191,0.496894409937888
0.47,0.558823529411765,0.426966292134831,0.484076433121019
0.48,0.552238805970149,0.415730337078652,0.474358974358974
0.49,0.53968253968254,0.382022471910112,0.447368421052632
0.5,0.533333333333333,0.359550561797753,0.429530201342282
0.51,0.551724137931034,0.359550561797753,0.435374149659864
0.52,0.535714285714286,0.337078651685393,0.413793103448276
0.53,0.547169811320755,0.325842696629214,0.408450704225352
0.54,0.591836734693878,0.325842696629214,0.420289855072464
0.55,0.565217391304348,0.292134831460674,0.385185185185185
0.56,0.568181818181818,0.280898876404494,0.37593984962406
0.57,0.585365853658537,0.269662921348315,0.369230769230769
0.58,0.585365853658537,0.269662921348315,0.369230769230769
0.59,0.578947368421053,0.247191011235955,0.346456692913386
0.6,0.6,0.235955056179775,0.338709677419355
0.61,0.6,0.235955056179775,0.338709677419355
0.62,0.606060606060606,0.224719101123595,0.327868852459016
0.63,0.612903225806452,0.213483146067416,0.316666666666667
0.64,0.586206896551724,0.191011235955056,0.288135593220339
0.65,0.576923076923077,0.168539325842697,0.260869565217391
0.66,0.6,0.168539325842697,0.263157894736842
0.67,0.608695652173913,0.157303370786517,0.25
0.68,0.608695652173913,0.157303370786517,0.25
0.69,0.608695652173913,0.157303370786517,0.25
0.7,0.636363636363636,0.157303370786517,0.252252252252252
